DateHour,Hour,Date,Month,2011_UV,2012_UV,2013_UV,2014_UV,2015_UV,2016_UV,2017_UV,2018_UV,2019_UV,2020_UV
01-01 00,00,01,01,0.0,0.02000000000000001,0.04000000000000002,0.030000000000000023,0.01966101694915255,0.0,0.0,0.010000000000000005,0.010000000000000005,0.010000000000000005
01-01 01,01,01,01,0.0,0.02000000000000001,0.04000000000000002,0.030000000000000023,0.02000000000000001,0.0,0.0,0.010000000000000005,0.010000000000000005,0.010000000000000005
01-01 02,02,01,01,0.0,0.02000000000000001,0.04000000000000002,0.030000000000000023,0.02000000000000001,0.0,0.0,0.010000000000000005,0.010000000000000005,0.010000000000000005
01-01 03,03,01,01,0.0,0.02000000000000001,0.03933333333333334,0.030000000000000023,0.02000000000000001,0.0,0.0,0.010000000000000005,0.010000000000000005,0.010000000000000005
01-01 04,04,01,01,0.0,0.02000000000000001,0.03366666666666669,0.030000000000000023,0.02000000000000001,0.0030000000000000005,0.0019999999999999996,0.010000000000000005,0.010000000000000005,0.010000000000000005
01-01 05,05,01,01,0.018833333333333344,0.07400000000000002,0.08116666666666666,0.06316666666666666,0.06250000000000003,0.05050000000000002,0.029500000000000023,0.05050000000000002,0.09833333333333337,0.10666666666666672
01-01 06,06,01,01,0.26366666666666655,0.4171666666666667,0.4421666666666667,0.14333333333333334,0.39666666666666667,0.3695000000000001,0.24183333333333337,0.34099999999999997,0.43833333333333346,0.6191666666666666
01-01 07,07,01,01,0.6221666666666668,1.409333333333333,1.4746666666666666,0.4504999999999999,1.4311666666666671,1.2031666666666665,1.443,1.0848333333333333,1.3961666666666666,1.8590000000000007
01-01 08,08,01,01,1.3944999999999999,3.2385,3.498166666666667,1.180666666666667,3.1205,2.659833333333333,3.407666666666667,3.3815000000000004,3.5053333333333327,3.766833333333333
01-01 09,09,01,01,3.289833333333333,5.573833333333332,6.147833333333334,1.8436666666666668,4.651333333333332,4.953999999999998,2.003166666666666,6.103166666666666,5.9623333333333335,6.516000000000001
01-01 10,10,01,01,5.36816666666667,7.772833333333333,8.4475,4.3165,6.479166666666668,6.784833333333334,5.822666666666666,8.421333333333333,8.354666666666668,9.468833333333334
01-01 11,11,01,01,8.036333333333332,9.354500000000002,10.177833333333334,2.4,4.578833333333333,6.621999999999999,2.3301666666666674,10.120333333333331,10.131666666666666,11.441833333333337
01-01 12,12,01,01,5.012333333333334,9.681833333333335,10.543499999999998,1.4840000000000002,10.328666666666667,7.104166666666665,2.1530000000000005,10.534666666666672,10.737500000000004,12.059999999999997
01-01 13,13,01,01,6.672203389830508,7.775254237288137,9.519152542372884,1.3832203389830506,9.470169491525423,6.076271186440678,3.1098305084745763,9.675932203389833,9.989661016949155,11.10593220338983
01-01 14,14,01,01,4.025499999999999,6.350666666666667,7.6093333333333355,0.9201666666666668,6.625500000000001,5.320333333333334,2.072666666666667,7.866166666666667,8.146666666666665,8.980999999999998
01-01 15,15,01,01,2.6694999999999993,4.736999999999999,5.3951666666666656,0.8896666666666667,3.452000000000001,3.4236666666666666,1.4283333333333332,5.459,5.709833333333332,6.228166666666666
01-01 16,16,01,01,1.4316666666666662,2.5985000000000005,2.9483333333333346,0.2786666666666668,2.8116666666666674,1.8004999999999998,1.3373333333333326,3.1746666666666656,3.2718333333333347,3.563666666666667
01-01 17,17,01,01,0.8781666666666667,1.0383333333333333,1.245,0.14550000000000005,1.1979999999999997,0.6563333333333332,0.6393333333333332,1.4313333333333331,1.4633333333333336,1.6256666666666664
01-01 18,18,01,01,0.23866666666666686,0.2713333333333334,0.33233333333333337,0.08683333333333326,0.2941666666666666,0.18916666666666673,0.07449999999999996,0.4433333333333334,0.452,0.5085
01-01 19,19,01,01,0.009666666666666672,0.04100000000000002,0.063,0.034000000000000016,0.039833333333333346,0.02250000000000001,0.015500000000000007,0.0611666666666666,0.06216666666666659,0.07033333333333322
01-01 20,20,01,01,0.0,0.014333333333333342,0.03016666666666669,0.030000000000000023,0.010000000000000005,0.0,0.0,0.010000000000000005,0.010000000000000005,0.010000000000000005
01-01 21,21,01,01,0.0,0.02000000000000001,0.030000000000000023,0.030000000000000023,0.010000000000000005,0.0,0.0,0.010000000000000005,0.010000000000000005,0.010000000000000005
01-01 22,22,01,01,0.0,0.02000000000000001,0.030000000000000023,0.030000000000000023,0.010000000000000005,0.0,0.0019999999999999996,0.010000000000000005,0.010000000000000005,0.010000000000000005
01-01 23,23,01,01,0.0,0.020000000000000007,0.030000000000000023,0.030000000000000023,0.010000000000000004,0.0,0.008400000000000005,0.010000000000000004,0.010000000000000004,0.010000000000000004
01-02 00,00,02,01,0.0,0.02000000000000001,0.033389830508474605,0.030000000000000023,0.010000000000000005,0.0,0.009661016949152548,0.010000000000000005,0.010000000000000005,0.010000000000000005
01-02 01,01,02,01,0.0,0.02000000000000001,0.030500000000000024,0.030000000000000023,0.010000000000000005,0.0015,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005
01-02 02,02,02,01,0.0,0.02000000000000001,0.031000000000000024,0.030000000000000023,0.010000000000000005,0.004500000000000001,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005
01-02 03,03,02,01,0.0,0.02000000000000001,0.03250000000000002,0.03066666666666669,0.010000000000000005,0.009500000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005
01-02 04,04,02,01,0.0,0.02000000000000001,0.03700000000000002,0.035333333333333355,0.010000000000000005,0.009833333333333338,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005
